epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,10663.8,0.86318,0.50465,0.93582,0.92075,0.87826,0.94473,0.70314,0.89611,0.51887,0.9548,0.000371375,0.000371375,0.000371375
73,10810.7,0.86446,0.50201,0.93751,0.9201,0.88314,0.9438,0.70392,0.89523,0.51793,0.9576,0.000359,0.000359,0.000359
74,10955.8,0.86485,0.49945,0.9362,0.91743,0.88776,0.94439,0.70474,0.89648,0.516,0.95702,0.000346625,0.000346625,0.000346625
75,11102.1,0.85695,0.49694,0.93309,0.91605,0.88828,0.94384,0.70326,0.89602,0.51223,0.95723,0.00033425,0.00033425,0.00033425
76,11250.3,0.86288,0.5,0.93455,0.91225,0.88676,0.94297,0.704,0.89589,0.51824,0.95873,0.000321875,0.000321875,0.000321875
77,11397.5,0.84893,0.49124,0.93294,0.91369,0.89003,0.94426,0.70503,0.89467,0.5144,0.95722,0.0003095,0.0003095,0.0003095
78,11545.5,0.84954,0.49231,0.93288,0.913,0.88847,0.9451,0.70647,0.89123,0.51102,0.95676,0.000297125,0.000297125,0.000297125
79,11693.9,0.84964,0.49468,0.93319,0.91422,0.88652,0.94521,0.70732,0.88957,0.51502,0.95545,0.00028475,0.00028475,0.00028475
80,11843.4,0.85465,0.49686,0.93553,0.91913,0.88245,0.94354,0.7066,0.88882,0.51514,0.95656,0.000272375,0.000272375,0.000272375
81,11990.6,0.84459,0.48593,0.92911,0.91599,0.88718,0.94415,0.70763,0.89029,0.51212,0.95671,0.00026,0.00026,0.00026
82,12139.7,0.84536,0.48827,0.93,0.91953,0.88511,0.9447,0.70723,0.89005,0.51355,0.95516,0.000247625,0.000247625,0.000247625
83,12288.8,0.83936,0.48221,0.92744,0.91596,0.88327,0.94407,0.70784,0.88667,0.5119,0.95273,0.00023525,0.00023525,0.00023525
84,12437.9,0.83831,0.48163,0.92706,0.91619,0.88683,0.94483,0.70797,0.88651,0.50949,0.9554,0.000222875,0.000222875,0.000222875
85,12587.6,0.82934,0.47666,0.92612,0.91869,0.88645,0.94475,0.70902,0.88515,0.50598,0.95552,0.0002105,0.0002105,0.0002105
86,12735.7,0.8261,0.47431,0.92763,0.91759,0.88651,0.94329,0.70923,0.8831,0.50904,0.95379,0.000198125,0.000198125,0.000198125
87,12880.7,0.83384,0.47674,0.92793,0.91589,0.88718,0.94425,0.70867,0.88319,0.50821,0.95296,0.00018575,0.00018575,0.00018575
88,13024.4,0.82863,0.47496,0.92515,0.91408,0.89131,0.94424,0.70999,0.88405,0.51142,0.95339,0.000173375,0.000173375,0.000173375
89,13163.6,0.82488,0.47118,0.92245,0.91775,0.88608,0.9439,0.70923,0.88263,0.5111,0.95307,0.000161,0.000161,0.000161
90,13301.2,0.82927,0.47607,0.92452,0.92121,0.88396,0.94415,0.70884,0.8828,0.51069,0.95318,0.000148625,0.000148625,0.000148625
91,13436.3,0.81438,0.42645,0.9073,0.91511,0.88867,0.9435,0.70604,0.88784,0.51245,0.9553,0.00013625,0.00013625,0.00013625
92,13569.1,0.80919,0.42277,0.90515,0.91213,0.89116,0.94356,0.70642,0.88898,0.51229,0.95642,0.000123875,0.000123875,0.000123875
93,13701.9,0.80022,0.41949,0.90373,0.91059,0.89433,0.94351,0.70678,0.88612,0.51146,0.95539,0.0001115,0.0001115,0.0001115
94,13835.4,0.79379,0.41463,0.9012,0.91326,0.89248,0.94441,0.70876,0.88379,0.51178,0.95474,9.9125e-05,9.9125e-05,9.9125e-05
95,13969.7,0.79197,0.41104,0.89958,0.91567,0.8907,0.94428,0.70903,0.88301,0.51256,0.95402,8.675e-05,8.675e-05,8.675e-05
96,14105.6,0.7877,0.41143,0.89724,0.91571,0.88889,0.94484,0.70981,0.88227,0.51037,0.95309,7.4375e-05,7.4375e-05,7.4375e-05
97,14239.6,0.78896,0.40891,0.89948,0.91599,0.88994,0.94475,0.7106,0.88218,0.50821,0.9526,6.2e-05,6.2e-05,6.2e-05
98,14376.3,0.78485,0.40777,0.89603,0.91652,0.88836,0.94454,0.71048,0.88215,0.50936,0.95233,4.9625e-05,4.9625e-05,4.9625e-05
99,14510.8,0.78734,0.40803,0.89865,0.91685,0.88904,0.94492,0.71177,0.88149,0.50845,0.95253,3.725e-05,3.725e-05,3.725e-05
100,14645.9,0.78069,0.41142,0.89669,0.9162,0.8891,0.94418,0.71161,0.88064,0.50815,0.95258,2.4875e-05,2.4875e-05,2.4875e-05
